BehaviorSpace results (NetLogo 6.0.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtestFate.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net 5 5, TopConcern 9 10, 0.1 X 0.2 protest-mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2019 02:04:53:282 +0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,
-30,30,-30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],initial-concern-level,threshold-level,threshold-dispersion,protest-mechanisms,following,friends,friends-network,num-topics,max-concern,population,keep-network,size-as,show-links,randomSeed?,randomSeed,[step],ticks,eff-num-topics,"count turtles with [protest-status = ""social""]","count turtles with [protest-status = ""concern""]",count turtles with [concerned-topic = 1],count turtles with [concerned-topic = 2],count turtles with [concerned-topic = 3],count turtles with [concerned-topic = 4],count turtles with [concerned-topic = 5],count turtles with [concerned-topic = 6],count turtles with [concerned-topic = 7],count turtles with [concerned-topic = 8],count turtles with [concerned-topic = 9],used-random-seed
4,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.98207351996983,1000,0,105,113,122,108,110,104,112,111,115,632484687
2,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.95552661694487,1000,0,105,132,108,109,117,114,107,106,102,-1780278781
3,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.95616498418432,1000,0,115,117,103,101,111,104,123,99,127,-1492800420
1,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.92040409760636,1000,0,120,105,117,96,125,118,92,112,115,-355600194
5,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.89977710150533,1000,0,91,106,118,98,103,130,124,111,119,1648822335
6,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.98428107687424,1000,0,115,114,105,111,116,114,103,105,117,1055475532
7,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,4,5,7.89644812324196,1000,0,101,122,107,108,100,130,92,125,115,-2033386995
8,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.98382354406913,1000,0,118,102,110,110,108,117,115,115,105,-129692321
9,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.96255415611792,1000,0,109,112,122,112,111,103,102,96,133,1049978293
10,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93888938889389,1000,0,127,128,108,110,104,100,105,109,109,-984026578
11,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.92658452300593,1000,0,99,113,103,134,108,113,117,100,113,-1497952447
13,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.89150919525106,1000,0,112,123,126,91,100,119,93,119,117,-1481489502
12,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.92070523611234,1000,0,114,121,124,109,88,124,105,112,103,1217942913
14,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.94022828861785,1000,0,94,121,108,128,106,111,114,119,99,-2078144454
15,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.94922682798852,1000,0,112,101,102,99,115,125,119,106,121,-1602838698
16,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.97026575914765,1000,0,115,115,115,107,102,108,106,125,107,707757573
17,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.95670875537672,1000,0,106,108,112,104,107,113,132,114,104,-1301964673
18,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.9714448190422,1000,0,110,105,102,115,111,104,116,123,114,814031642
19,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.98154241232646,1000,0,106,113,117,119,104,108,117,108,108,-559003594
20,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.94212083691843,1000,0,106,99,92,110,120,108,114,121,130,616436401
23,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93872211375507,1000,0,109,116,99,112,120,129,97,113,105,-1490339895
21,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.92012842872998,1000,0,99,129,109,102,104,112,108,131,106,1632860380
22,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.95825856924607,1000,0,121,116,120,104,102,98,112,108,119,-258154205
24,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.94899791333042,1000,0,112,110,127,112,116,117,93,118,95,-757478447
27,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.95029354998434,1000,0,111,96,111,104,125,121,114,105,113,-234090985
25,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.83853857419942,1000,0,102,124,140,87,118,103,97,119,110,1111872673
28,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.89756620478819,1000,0,124,105,91,130,108,98,113,123,108,-1113277989
26,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.9873263733086,1000,0,116,118,104,113,113,106,111,114,105,-1417528310
30,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.96645359397108,1000,0,113,112,127,105,106,115,111,102,109,332798055
29,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.99100223953069,1000,0,112,112,114,108,109,110,121,112,102,-2060188438
31,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.94964431300456,1000,0,113,111,100,128,99,118,115,108,108,729913428
32,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93782852642977,1000,0,98,115,112,120,94,116,122,121,102,65090236
33,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.89602066769471,1000,0,102,110,94,112,111,141,106,112,112,-157361683
34,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.97960279674058,1000,0,105,112,103,114,103,116,108,118,121,163082455
35,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.94747274529237,1000,0,118,105,113,116,94,104,117,124,109,839768945
36,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.97362043621628,1000,0,108,120,102,106,121,109,113,117,104,-120538460
37,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93775234212693,1000,0,108,122,109,108,114,113,131,95,100,2105174992
38,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93051504792967,1000,0,101,106,96,112,118,130,102,106,129,-191045817
39,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.89720579237202,1000,0,98,111,134,101,110,101,126,99,120,-662912846
41,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.89955328653478,1000,0,97,136,114,119,108,100,100,123,103,-954340518
40,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.95545125647795,1000,0,101,120,105,103,120,111,117,125,98,2020640829
43,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93767055566541,1000,0,100,97,121,101,121,118,120,118,104,-529088972
42,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.94124061902071,1000,0,105,126,112,99,118,99,113,123,105,-214282985
44,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.97297297297297,1000,0,111,109,110,110,118,121,98,108,115,1133438174
46,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.89317884210944,1000,0,97,112,125,94,110,135,116,103,108,842803198
47,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93411390339426,1000,0,117,112,119,123,100,109,90,112,118,-1779264276
45,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.96250710092786,1000,0,104,108,102,95,118,115,112,116,130,-1687953390
48,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93296442687747,1000,0,121,122,107,103,98,128,115,102,104,-1626648719
49,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.93548514072033,1000,0,126,112,95,118,101,107,115,124,102,1905349993
50,0.1,0,0.2,sa,5,5,random,9,10,1000,false,number followers,false,false,0,3,4,7.89865567817874,1000,0,95,131,98,100,107,107,115,127,120,-663677020
51,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.94691606363803,0,896,86,84,108,102,102,103,95,100,116,388816227
52,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.93259260258087,0,873,91,77,91,104,100,107,99,98,106,-1378363287
53,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.87692171426402,0,882,116,102,89,112,111,86,90,83,93,711038814
54,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.93551170521253,0,858,86,100,86,87,88,90,109,103,109,-548723759
55,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.90833907649897,0,882,105,104,102,88,85,97,107,77,117,-7856911
56,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.92888482867767,0,878,105,111,88,99,108,82,98,94,93,1792793958
57,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.9869465062708,0,883,100,100,89,103,100,100,101,97,93,-239652387
58,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.93307330195024,0,870,88,111,92,82,103,94,104,94,102,1401971214
59,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.92216108717269,0,873,111,90,103,111,93,90,90,85,100,347370360
60,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.91764579211585,0,867,105,96,104,109,88,97,77,91,100,671021535
61,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.92971565879055,0,875,113,89,85,100,96,96,111,106,79,607410658
62,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.96327074997435,0,889,93,95,96,106,97,104,109,88,101,-139353488
63,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.96784397828564,0,875,98,104,97,101,83,101,93,94,104,-660262792
64,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.93158292702005,0,888,79,93,100,93,101,111,97,106,108,1676745789
65,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.8401124696243,0,880,98,87,76,128,100,96,105,95,95,1451628310
66,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.94990224524613,0,886,102,112,97,90,89,98,100,111,87,919477976
68,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.98130161533268,0,895,105,101,90,100,94,95,96,103,111,424365444
67,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.89159045282177,0,900,88,110,101,94,82,120,108,95,102,487113268
69,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.94845360824742,0,872,100,97,85,102,106,88,105,88,101,1695233484
70,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.93550772961504,0,899,106,110,91,87,111,102,92,110,90,-1299798152
71,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.94396050352832,0,880,94,92,90,92,115,94,100,107,96,-1831859355
72,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.94533729143208,0,861,90,97,82,105,108,102,105,99,73,-1690911681
73,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.92270671386996,0,877,102,79,112,90,108,98,104,100,84,-678532515
74,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.91124153731305,0,891,96,91,91,91,97,111,119,88,107,2640282
75,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.97042589787693,0,890,91,91,97,97,111,102,99,100,102,-1674406170
77,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.89564579067341,0,882,91,94,107,114,97,107,75,98,99,2055888678
76,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.96809326384466,0,864,104,94,96,97,88,93,103,108,81,-226689792
78,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.88231925372564,0,887,100,123,108,83,87,101,95,90,100,-1349840869
79,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.94455026455026,0,908,101,113,95,93,99,94,112,115,86,1753018764
82,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.94771387251085,0,859,106,91,82,97,84,99,98,99,103,2047543234
81,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.93941780094242,0,899,112,94,97,116,97,98,93,90,102,-195277727
80,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.92104310032597,0,900,97,95,83,100,119,99,108,109,90,1330653996
83,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.96842871195074,0,878,96,87,102,97,86,97,103,101,109,-1979348338
84,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.99637783480471,0,899,104,101,100,100,98,98,103,103,92,-1148143864
86,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.87822813180725,0,896,101,97,99,91,91,97,129,86,105,1515111927
85,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.92731573571314,0,879,97,102,101,95,88,94,112,79,111,-1123259945
87,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.96204051012753,0,882,91,106,95,113,94,102,102,95,84,-562356882
88,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.98176762564484,0,898,98,95,108,109,101,103,98,97,89,208648054
90,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.92081992034914,0,879,113,99,100,77,99,108,95,98,90,-2054821104
89,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.94293082483732,0,875,88,97,85,108,107,88,100,98,104,-1406852611
91,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.96771810969476,0,887,106,90,94,105,93,103,94,106,96,151669936
92,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.91442250149611,0,887,109,85,93,91,99,109,100,119,82,2011193122
94,0.1,0,0.2,cp,5,5,random,9,10,1000,false,number followers,false,false,0,0,1,7.9147810755216,0,887,89,95,124,105,98,106,94,93,83,513799231
